id,numday,numvisit,firstdt,lastdt,homepage,crime,localnews,colbball,sports,colfball,business,usnews,politics,entertain,state,weather,hssports,opinion,realestate,life
7593,4,12,2019-02-21,2019-02-26,33,23,17,3,1,0,3,0,5,1,7,6,0,0,0,12
7594,70,181,2019-06-03,2019-08-12,21,4,874,2,334,0,13,3,4,40,0,1,0,0,0,288
7595,130,405,2019-03-12,2019-07-30,3814,127,520,26,236,0,21,11,1,23,7,22,0,1,0,256
7596,5,11,2019-08-21,2019-08-28,6,0,4,1,6,0,0,0,0,0,0,0,0,0,0,18
7597,4,4,2019-01-20,2019-06-10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7598,2,10,2019-08-29,2019-08-30,46,1,17,0,12,0,2,2,2,0,0,0,0,0,0,6
7599,7,25,2019-08-13,2019-08-19,320,13,292,1,13,0,2,12,6,3,7,0,0,3,0,35
7600,1,6,2019-03-16,2019-03-16,5,0,0,0,3,0,0,0,5,0,1,0,0,0,0,0
7601,1,1,2019-08-02,2019-08-02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7602,2,2,2019-04-03,2019-04-15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7603,1,1,2019-02-27,2019-02-27,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
7604,8,12,2019-08-22,2019-08-30,51,2,13,0,0,0,0,0,0,0,1,0,0,0,0,12
7605,1,1,2019-06-10,2019-06-10,17,3,5,0,0,0,0,0,0,0,0,0,0,0,0,2
7606,1,1,2019-02-24,2019-02-24,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7607,1,2,2019-05-02,2019-05-02,27,0,5,0,0,0,1,0,0,0,0,0,0,0,0,4
7608,1,1,2019-06-20,2019-06-20,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
7609,1,1,2019-06-14,2019-06-14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7610,1,1,2019-08-21,2019-08-21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7611,1,1,2019-08-14,2019-08-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7612,1,1,2019-07-22,2019-07-22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7613,245,329,2018-11-26,2019-09-02,1675,79,338,117,256,0,19,26,20,5,19,6,0,88,1,43
7614,2,8,2019-06-24,2019-06-25,20,0,31,1,13,0,0,2,2,0,0,1,0,13,0,0
7615,4,18,2019-02-19,2019-02-22,207,50,10,13,5,0,2,0,4,0,7,7,0,2,47,4
7616,1,1,2019-07-20,2019-07-20,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7617,1,2,2019-08-10,2019-08-10,4,19,20,1,4,0,0,0,0,0,0,0,0,0,0,0
7618,1,1,2019-05-18,2019-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
