hhid,ACCOUNT_TYPE,billmonth,contractdt,churn,LINE_COUNT,TOTAL_REV_AMT_MAR07,TOTAL_REV_AMT_APR07,TOTAL_REV_AMT_MAY07,TOTAL_REV_AMT_JUN07,TOTAL_REV_AMT_JUL07,TOTAL_REV_AMT_AUG07,TOTAL_REV_AMT_SEP07,TOTAL_REV_AMT_OCT07,TOTAL_REV_AMT_NOV07,TOTAL_REV_AMT_DEC07,TOTAL_REV_AMT_JAN08,TOTAL_REV_AMT_FEB08,TOTAL_REV_AMT_MAR08,TOTAL_REV_AMT_APR08,TOTAL_REV_AMT_MAY08,t2
128926734,I,May 08,03/09/2006,1,0,68.75994873,89.279968262,50.889984131,47.559997559,77.41998291,62.379974365,54.219970703,54.219970703,59.049987793,159.53991699,76.889953613,82.889953613,89.389953613,76.889953613,101.03997803,26
128926798,I,Aug 07,07/01/2004,1,0,87,111.54998779,53.41998291,65.579956055,59.609985352,,,34.449981689,,,74.189941406,39.989990234,39.989990234,26.909988403,24.979995728,37
53608634,I,Mar 08,03/08/2006,1,0,34.399993896,32.899993896,35.899993896,32.899993896,67.549987793,32.899993896,51.559997559,33.099975586,32.899993896,32.899993896,32.899993896,32.899993896,32.899993896,,,24
128931832,I,Aug 07,07/03/2004,1,0,54.549987793,92.549987793,61.549987793,59.799987793,57.849975586,,,,286.54980469,149.13989258,247.79992676,156.89990234,136.08996582,261.67993164,130.08996582,37
245194031,I,Jun 07,02/23/2006,1,2,173.25,20.299987793,20,20.599990845,,,,,,,,,,,,16
224754871,I,Nov 07,08/31/2007,1,0,25.899993896,70.899963379,87.439941406,163.90991211,159.28991699,72.389953613,195.07995605,75.389953613,,,,,,,,3
217429770,I,May 08,08/12/2006,1,0,38,35,35,35,35,35,35.199981689,35,35,35,96.25,35,35,38.449981689,,21
247572418,I,Apr 08,08/29/2006,0,3,26.659988403,26.809997559,26.659988403,26.659988403,26.959991455,26.659988403,26.659988403,26.659988403,26.659988403,26.659988403,26.659988403,26.659988403,26.659988403,27.259994507,27.659988403,20
246839067,I,Nov 07,11/02/2005,1,0,20,20,20,20,20,20,20,20,,,,,,,,24
218619175,I,FEB 08,02/13/2006,1,0,58.899993896,64.739990234,56.849975586,57.349975586,99.029968262,57.099975586,56.849975586,56.849975586,56.849975586,57.099975586,56.849975586,,,,,24
252867901,I,Sep 07,03/08/2006,1,1,98.399963379,51.899993896,51.899993896,51.899993896,64.199951172,51.899993896,52.099975586,,,,,,,,,18
252868083,I,Oct 07,04/15/2007,0,3,48.379974365,93.91998291,48.679992676,51.379974365,48.379974365,48.379974365,48.379974365,49.209991455,49.209991455,49.209991455,49.709991455,49.209991455,49.209991455,49.209991455,49.209991455,6
252869102,B,May 08,05/22/2008,0,2,103.25994873,103.25994873,103.25994873,104.75994873,103.25994873,103.25994873,103.25994873,103.25994873,103.25994873,103.25994873,103.25994873,103.25994873,103.25994873,103.25994873,104.91998291,0
252869175,I,Apr 08,04/19/2006,1,0,61.739990234,66.349975586,58.349975586,60.039978027,62.129974365,59.849975586,80.329956055,61.349975586,61.009979248,59.849975586,62.129974365,56.849975586,38.989990234,29.989990234,,24
128946222,I,Oct 07,10/26/2006,1,0,85.75,78.399963379,75.799987793,61.349975586,61.349975586,59.849975586,62.849975586,64.349975586,,,,,,,,12
128943961,I,Jun 07,05/29/2007,1,0,66.909973145,67.50994873,67.209960938,97.359985352,,,,,,,,,,,,1
256117088,I,Jul 07,12/22/2005,1,0,35.75,35.75,35.75,37.25,35.75,,,,,,,,,,,19
250125633,I,Oct 07,07/10/2004,1,0,67.439941406,28.109985352,19.379989624,24.779998779,17.879989624,19.829986572,16.5,,,,,,,,,39
187645624,I,Mar 08,02/03/2006,0,1,167.09997559,246.59997559,52.389984131,151.36999512,256.00976563,268.76977539,144.79992676,50.889984131,144.79992676,50.889984131,121.34997559,50.889984131,225.19995117,72.389953613,70.889953613,25
251575011,B,Dec 07,06/12/2006,0,7,35.949981689,35.949981689,35.949981689,87.209960938,69.699951172,50.469970703,51.969970703,70.459960938,76.699951172,70.359985352,49.399993896,69.679992676,61.969970703,48.399993896,45.899993896,18
53622046,I,Jun 07,07/12/2004,1,0,44.899993896,44.899993896,68.359985352,,,,,,,,,,,,,35
54009082,I,May 08,07/19/2005,0,4,33.239990234,26,26,29.149993896,65.66998291,29.369995117,29.169998169,28.769989014,278.34985352,28.569992065,28.569992065,28.569992065,28.769989014,42.389984131,37.069976807,34
106748213,I,Aug 07,01/30/2006,1,0,18.619995117,74.5,24.979995728,18.769989014,31.419998169,,,,,,,,,,,19
243942001,I,Jul 07,04/15/2006,0,4,17.489990234,17.489990234,17.489990234,17.489990234,17.489990234,17.489990234,57.539978027,30,30,30,30,30,30,30,30,15
246870622,I,Mar 08,07/09/2006,0,4,27.179992676,28.679992676,28.679992676,27.179992676,27.179992676,51.619995117,30.949996948,30.949996948,30.949996948,30.949996948,30.949996948,30.949996948,30.949996948,30.949996948,30.949996948,20
53627209,I,Apr 08,04/20/2007,0,4,26.659988403,36.609985352,51.609985352,36.609985352,37.359985352,48.969970703,77.879943848,36.609985352,92.91998291,124.52996826,39.239990234,48.439971924,40.239990234,39.439971924,43.439971924,12
217440273,I,Dec 07,04/03/2006,0,4,50.409973145,26.489990234,25.989990234,28.989990234,26.989990234,26.739990234,28.88999939,65.929992676,26.739990234,106.4699707,30,39.5,30,78.5,32.25,20
250118874,I,Jun 07,08/04/2006,0,2,33.329986572,33.329986572,33.329986572,90,45,45,45,45,45,45.199981689,45.399993896,45.399993896,45.199981689,90,45,10
255041128,I,JAN 08,01/19/2006,1,0,151.69995117,99.769958496,123.05999756,71.83996582,101.82995605,65.889953613,67.779968262,84.879943848,71.389953613,154.08996582,200.93994141,,,,,24
253093579,I,JAN 08,10/06/2006,0,1,53.139984131,54.459991455,51.189971924,50.289978027,53.989990234,56.539978027,56.389984131,53.389984131,53.239990234,56.089996338,55.089996338,55.739990234,51.989990234,53.789978027,55.739990234,15
53633195,I,Jul 07,12/23/2006,1,0,81.439941406,77.299987793,87.559997559,81.989990234,113.89996338,,,,,,,,,,,7
54757856,I,FEB 08,07/27/2006,1,0,35,35,35,35,35,35,54.939971924,28.899993896,15.63999939,128.10998535,84,,,,,19
53638526,I,JAN 08,04/12/2006,0,2,35.139984131,35.139984131,35.589996338,65.5,74.319946289,34.989990234,34.989990234,78.579956055,42.789978027,42.589996338,46.889984131,45.019989014,35.589996338,35.189971924,36.489990234,21
53639109,I,Jun 07,07/23/2004,1,0,27.199996948,27.349990845,27.659988403,27.5,,,,,,,,,,,,35
128972794,I,May 08,04/29/2006,1,0,47.489990234,52.399993896,48.639984131,48.349975586,50.449981689,52.189971924,50.25,50.75,49.349975586,75.75994873,158.7598877,130.48999023,58.939971924,61.809997559,,25
